"Class";"PathFile";"Attributes";"Methods";"LOC";"NOC";"fanOut";"WMC";"LCOM"
"TablesComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/tables/tables.component.ts";"0";"0";"7";"0";"0";"0";"0"
"ButtonsModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/ui-features/buttons/buttons.module.ts";"0";"0";"14";"0";"0";"0";"0"
"SizeButtonsComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/ui-features/buttons/size-buttons/size-buttons.component.ts";"0";"0";"8";"0";"0";"0";"0"
"D3LineComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/charts/d3/line/line.component.ts";"11";"0";"72";"11";"0";"0";"0"
"LeafletComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/maps/leaflet/leaflet.component.ts";"1";"0";"17";"1";"0";"0";"0"
"Tab1Component";"/home/school/MGL843/repos/ngx-admin/src/app/pages/ui-features/tabs/tabs.component.ts";"0";"0";"8";"0";"0";"0";"0"
"GmapsComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/maps/gmaps/gmaps.component.ts";"2";"0";"11";"2";"0";"0";"0"
"EchartsComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/charts/echarts/echarts.component.ts";"0";"0";"8";"0";"0";"0";"0"
"TinyMCEComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/editors/tiny-mce/tiny-mce.component.ts";"0";"1";"17";"1";"0";"1";"0"
"SearchComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/ui-features/search-fields/search-fields.component.ts";"0";"0";"7";"0";"0";"0";"0"
"EditorsModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/editors/editors.module.ts";"0";"0";"13";"0";"0";"0";"0"
"EditorsRoutingModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/editors/editors-routing.module.ts";"0";"0";"6";"0";"0";"0";"0"
"ChartsComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/charts/charts.component.ts";"0";"0";"9";"0";"0";"0";"0"
"TabsComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/ui-features/tabs/tabs.component.ts";"1";"0";"20";"1";"0";"0";"0"
"EchartsPieComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/charts/echarts/pie/pie.component.ts";"1";"0";"60";"1";"0";"0";"0"
"DashboardComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/dashboard/dashboard.component.ts";"0";"0";"93";"0";"0";"0";"0"
"ComponentsRoutingModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/components/components-routing.module.ts";"0";"0";"6";"0";"0";"0";"0"
"CoreModule";"/home/school/MGL843/repos/ngx-admin/src/app/@core/core.module.ts";"0";"1";"12";"1";"0";"-1";"0"
